Date,PX_LAST
12/31/02,8.10%
1/31/03,8.40%
2/28/03,8.20%
3/31/03,8.20%
4/30/03,8.20%
5/31/03,8.30%
6/30/03,8.00%
7/31/03,8.30%
8/31/03,7.80%
9/30/03,7.90%
10/31/03,7.80%
11/30/03,8.10%
12/31/03,8.20%
1/31/04,8.20%
2/29/04,8.30%
3/31/04,7.80%
4/30/04,7.70%
5/31/04,7.80%
6/30/04,7.60%
7/31/04,7.40%
8/31/04,7.10%
9/30/04,6.90%
10/31/04,6.70%
11/30/04,6.60%
12/31/04,5.80%
1/31/05,5.90%
2/28/05,6.00%
3/31/05,5.60%
4/30/05,5.70%
5/31/05,7.30%
6/30/05,7.90%
7/31/05,8.50%
8/31/05,8.90%
9/30/05,8.80%
10/31/05,8.40%
11/30/05,8.70%
12/31/05,8.30%
1/31/06,8.70%
2/28/06,9.30%
3/31/06,9.40%
4/30/06,9.20%
5/31/06,8.80%
6/30/06,8.70%
7/31/06,8.90%
8/31/06,8.80%
9/30/06,8.50%
10/31/06,8.80%
11/30/06,8.00%
12/31/06,7.00%
1/31/07,6.80%
2/28/07,6.80%
3/31/07,6.60%
4/30/07,6.70%
5/31/07,6.70%
6/30/07,6.40%
7/31/07,6.50%
8/31/07,6.30%
9/30/07,5.80%
10/31/07,5.60%
11/30/07,5.40%
12/31/07,4.60%
1/31/08,4.80%
2/29/08,4.80%
3/31/08,4.30%
4/30/08,4.40%
5/31/08,4.30%
6/30/08,4.10%
7/31/08,4.00%
8/31/08,3.90%
9/30/08,3.90%
10/31/08,3.90%
11/30/08,4.00%
12/31/08,3.80%
1/31/09,4.20%
2/28/09,4.30%
3/31/09,4.50%
4/30/09,4.60%
5/31/09,4.70%
6/30/09,4.50%
7/31/09,4.60%
8/31/09,4.50%
9/30/09,4.30%
10/31/09,4.30%
11/30/09,4.40%
12/31/09,3.80%
1/31/10,3.90%
2/28/10,4.00%
3/31/10,3.80%
4/30/10,3.50%
5/31/10,3.60%
6/30/10,3.30%
7/31/10,3.40%
8/31/10,3.40%
9/30/10,3.30%
10/31/10,3.60%
11/30/10,3.40%
12/31/10,2.90%
1/31/11,3.10%
2/28/11,3.10%
3/31/11,3.20%
4/30/11,3.20%
5/31/11,3.20%
6/30/11,3.00%
7/31/11,3.10%
8/31/11,3.10%
9/30/11,3.00%
10/31/11,3.10%
11/30/11,3.00%
12/31/11,2.60%
1/31/12,2.40%
2/29/12,2.30%
3/31/12,2.30%
4/30/12,2.30%
5/31/12,2.30%
6/30/12,2.20%
7/31/12,2.20%
8/31/12,2.20%
9/30/12,2.10%
10/31/12,2.20%
11/30/12,2.00%
12/31/12,1.87%
1/31/13,2.01%
2/28/13,2.03%
3/31/13,1.97%
4/30/13,1.96%
5/31/13,1.95%
6/30/13,1.88%
7/31/13,1.87%
8/31/13,2.00%
9/30/13,1.86%
10/31/13,1.91%
11/30/13,1.88%
12/31/13,1.77%
1/31/14,1.90%
2/28/14,1.99%
3/31/14,2.00%
4/30/14,2.05%
5/31/14,2.18%
6/30/14,2.16%
7/31/14,2.24%
8/31/14,2.31%
9/30/14,2.29%
10/31/14,2.35%
11/30/14,2.36%
12/31/14,2.16%
1/31/15,2.37%
2/28/15,2.46%
3/31/15,2.40%
4/30/15,2.48%
5/31/15,2.58%
6/30/15,2.56%
7/31/15,2.70%
8/31/15,2.76%
9/30/15,2.71%
10/31/15,2.68%
11/30/15,2.66%
12/31/15,2.49%
1/31/16,2.73%
2/29/16,2.87%
3/31/16,2.83%
4/30/16,2.93%
5/31/16,3.11%
6/30/16,3.05%
7/31/16,3.18%
8/31/16,3.22%
9/30/16,3.10%
10/31/16,3.22%
11/30/16,3.18%
12/31/16,2.93%
1/31/17,3.09%
2/28/17,3.16%
3/31/17,3.04%
