Date,PX_LAST
12/30/99,676.919
1/4/00,700.218
1/5/00,678.087
1/6/00,688.521
1/11/00,696.003
1/12/00,690.164
1/13/00,691.61
1/14/00,690.892
1/17/00,703.483
1/18/00,685.716
1/19/00,655.995
1/20/00,670.153
1/21/00,664.694
1/24/00,656.722
1/25/00,649.858
1/26/00,643.385
1/27/00,644.651
1/28/00,634.669
1/31/00,636.372
2/1/00,616.856
2/2/00,603.576
2/3/00,614.31
2/4/00,634.998
2/7/00,636.428
2/8/00,629.9
2/9/00,632.451
2/10/00,639.253
2/11/00,635.078
2/14/00,633.715
2/15/00,636.895
2/16/00,621.902
2/17/00,600.174
2/18/00,599.573
2/21/00,592.988
2/22/00,583.42
2/23/00,584.428
2/24/00,573.487
2/25/00,568.555
2/28/00,576.542
3/1/00,565.478
3/2/00,546.528
3/3/00,548.553
3/6/00,566.71
3/7/00,562.759
3/8/00,570.052
3/9/00,585.18
3/10/00,596.182
3/13/00,587.576
3/14/00,585.921
3/15/00,586.869
3/17/00,590.852
3/20/00,584.876
3/21/00,578.965
3/22/00,586.865
3/23/00,586.007
3/24/00,581.473
3/27/00,585.237
3/28/00,588.732
3/29/00,591.679
3/30/00,583.276
4/3/00,570.901
4/5/00,564.182
4/7/00,570.815
4/10/00,569.617
4/11/00,569.74
4/12/00,564.737
4/13/00,565.107
4/14/00,556.788
4/17/00,529.263
4/18/00,528.259
4/19/00,526.3
4/20/00,526.396
4/24/00,530.849
4/25/00,519.043
4/26/00,524.078
4/27/00,521.62
4/28/00,526.737
5/1/00,524.609
5/2/00,531.254
5/3/00,535.311
5/4/00,538.966
5/5/00,545.61
5/8/00,550.329
5/9/00,547.672
5/10/00,548.24
5/11/00,529.201
5/12/00,526.877
5/15/00,516.43
5/16/00,497.819
5/17/00,514.851
5/19/00,509.405
5/22/00,499.768
5/23/00,495.51
5/24/00,493.204
5/25/00,490.682
5/26/00,482.073
5/29/00,461.389
5/30/00,468.708
5/31/00,454.327
6/2/00,444.448
6/5/00,453.945
6/6/00,452.762
6/7/00,459.461
6/8/00,478.209
6/9/00,477.928
6/12/00,476.033
6/13/00,468.362
6/14/00,475.933
6/16/00,484.021
6/19/00,490.688
6/20/00,490.121
6/21/00,494.492
6/22/00,501.809
6/23/00,503.145
6/26/00,507.505
6/27/00,502.051
6/28/00,510.118
6/29/00,512.597
6/30/00,515.11
7/3/00,503.856
7/4/00,509.264
7/5/00,512.466
7/6/00,513.431
7/7/00,508.108
7/10/00,508.468
7/11/00,512.617
7/12/00,510.986
7/13/00,505.921
7/14/00,504.114
7/17/00,506.802
7/18/00,507.045
7/19/00,513.778
7/20/00,513.393
7/21/00,508.794
7/24/00,506.94
7/25/00,499.677
7/26/00,496.691
7/27/00,499.179
7/28/00,498.804
7/31/00,492.193
8/1/00,489.677
8/2/00,490.437
8/3/00,491.992
8/4/00,494.16
8/7/00,490.544
8/8/00,485.08
8/9/00,483.35
8/10/00,488.619
8/11/00,505.791
8/14/00,504.067
8/15/00,501.579
8/16/00,496.4
8/18/00,494.188
8/21/00,497.394
8/22/00,500.099
8/23/00,503.396
8/24/00,482.653
8/25/00,486.907
8/28/00,481.667
8/29/00,470.838
8/30/00,469.061
8/31/00,466.38
9/1/00,470.415
9/4/00,475.356
9/5/00,478.422
9/6/00,475.546
9/7/00,472.599
9/8/00,470.925
9/11/00,462.538
9/12/00,451.045
9/13/00,442.091
9/18/00,411.033
9/19/00,425.128
9/20/00,419.352
9/21/00,417.678
9/22/00,406.915
9/25/00,410.898
9/26/00,411.854
9/27/00,410.131
9/28/00,415.523
9/29/00,421.336
10/2/00,432.239
10/3/00,427.711
10/4/00,418.83
10/5/00,423.896
10/6/00,421.996
10/9/00,415.364
10/10/00,412.915
10/11/00,412.33
10/12/00,408.424
10/13/00,408.2
10/16/00,411.75
10/17/00,417.439
10/18/00,416.948
10/19/00,422.733
10/20/00,420.331
10/23/00,417.451
10/24/00,418.641
10/26/00,414.16
10/27/00,411.843
10/30/00,404.115
10/31/00,405.347
11/1/00,409.362
11/2/00,407.961
11/3/00,409.834
11/6/00,415.267
11/7/00,421.033
11/8/00,426.076
11/9/00,421.472
11/10/00,426.97
11/13/00,423.664
11/14/00,425.61
11/15/00,418.719
11/16/00,416.981
11/17/00,421.143
11/20/00,426.293
11/21/00,425.516
11/22/00,431.702
11/23/00,433.548
11/24/00,434.211
11/27/00,431.24
11/28/00,426.943
11/29/00,425.302
11/30/00,429.214
12/1/00,427.552
12/4/00,429.904
12/5/00,431.435
12/6/00,433.722
12/7/00,435.642
12/8/00,431.808
12/11/00,421.473
12/12/00,415.177
12/13/00,420.438
12/14/00,419.196
12/15/00,423.684
12/18/00,418.553
12/19/00,418.783
12/20/00,414.87
12/21/00,415.103
12/22/00,416.321
1/2/01,410.205
1/3/01,405.829
1/4/01,409.827
1/5/01,418.82
1/8/01,415.766
1/9/01,415.273
1/10/01,417.519
1/11/01,410.381
1/12/01,407.365
1/15/01,411.976
1/16/01,415.089
1/17/01,414.665
1/18/01,416.345
1/19/01,411.558
1/22/01,417.908
1/23/01,415.743
1/24/01,416.967
1/25/01,417.13
1/26/01,416.788
1/29/01,413.052
1/30/01,416.325
1/31/01,425.614
2/1/01,430.581
2/2/01,451.979
2/5/01,458.952
2/6/01,450.11
2/7/01,444.333
2/8/01,440.776
2/9/01,427.914
2/12/01,424.465
2/13/01,426.172
2/14/01,423.214
2/15/01,440.223
2/16/01,432.079
2/19/01,435.139
2/20/01,433.681
2/21/01,439.903
2/22/01,437.03
2/23/01,438.646
2/26/01,432.15
2/27/01,433.308
2/28/01,428.303
3/1/01,424.03
3/2/01,426.127
3/6/01,431.518
3/7/01,430.55
3/8/01,428.036
3/9/01,414.106
3/12/01,396.611
3/13/01,385.906
3/14/01,389.193
3/15/01,386.863
3/16/01,380.515
3/19/01,367.142
3/20/01,360.449
3/21/01,369.075
3/22/01,363.182
3/23/01,371.472
3/27/01,369.303
3/28/01,375.18
3/29/01,381.773
3/30/01,381.05
4/2/01,375.032
4/3/01,372.653
4/4/01,367.408
4/5/01,362.468
4/6/01,364.343
4/9/01,362.276
4/10/01,369.197
4/11/01,367.156
4/12/01,365.983
4/16/01,363.211
4/17/01,360.037
4/18/01,356.23
4/19/01,349.308
4/20/01,342.858
4/23/01,346.407
4/24/01,348.099
4/25/01,353.181
4/26/01,351.336
4/27/01,351.562
4/30/01,358.232
5/1/01,362.228
5/2/01,362.722
5/3/01,371.939
5/4/01,375.558
5/8/01,372.974
5/9/01,372.111
5/10/01,369.033
5/11/01,370.359
5/14/01,368.282
5/15/01,370.876
5/16/01,376.228
5/17/01,376.702
5/18/01,376.796
5/21/01,380.38
5/22/01,379.67
5/23/01,380.679
5/25/01,390.124
5/28/01,392.788
5/29/01,406.384
5/30/01,408.927
5/31/01,405.863
6/1/01,396.514
6/5/01,396.46
6/6/01,397.602
6/7/01,397.964
6/8/01,398.811
6/11/01,404.479
6/12/01,417.049
6/13/01,417.083
6/14/01,416.737
6/15/01,417.562
6/18/01,421.473
6/19/01,424.042
6/20/01,432.321
6/21/01,435.211
6/22/01,437.595
6/25/01,435.752
6/26/01,438.406
6/27/01,436.125
6/28/01,428.474
6/29/01,437.62
7/2/01,431.336
7/3/01,428.655
7/4/01,429.007
7/5/01,431.005
7/6/01,432.878
7/9/01,434.538
7/10/01,435.604
7/11/01,437.427
7/12/01,441.466
7/13/01,446.01
7/16/01,443.324
7/17/01,446.445
7/18/01,453.301
7/19/01,463.261
7/20/01,460.908
7/23/01,470.229
7/24/01,457.918
7/25/01,447.625
7/26/01,443.694
7/27/01,447.381
7/30/01,449.191
7/31/01,444.081
8/1/01,443.194
8/2/01,436.461
8/3/01,435.15
8/6/01,430.81
8/7/01,432.936
8/8/01,442.526
8/9/01,430.693
8/10/01,435.674
8/13/01,441.181
8/14/01,441.897
8/15/01,436.406
8/16/01,435.319
8/20/01,437.869
8/21/01,437.197
8/22/01,441.978
